售价,每平米,小区名称,所处区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,房屋用途,交易权属
1480万,73952,华普花园,"东城,东直门",3室2厅1厨1卫,中楼层 (共22层),200.13㎡,平层,152.36㎡,塔楼,西北,钢混结构,简装,四梯六户,集中供暖,有,70年,房屋用途,商品房
3000万,85211,贡院六号,"东城,建国门内",3室2厅1厨3卫,中楼层 (共22层),352.07㎡,平层,259.33㎡,板塔结合,南 北,钢混结构,精装,两梯七户,集中供暖,有,70年,房屋用途,商品房
1320万,104447,和平新城一期,"东城,和平里",2室2厅1厨2卫,高楼层 (共19层),126.38㎡,平层,101.4㎡,板塔结合,南 西北,钢混结构,精装,三梯八户,自供暖,有,70年,房屋用途,商品房
690万,80448,香河园北里,"东城,东直门",3室1厅1厨1卫,低楼层 (共14层),85.77㎡,平层,暂无数据,板塔结合,东 西,钢混结构,简装,一梯七户,集中供暖,有,70年,房屋用途,已购公房
935万,103832,前门前,"东城,天坛",2室1厅1厨1卫,高楼层 (共6层),90.05㎡,平层,68.62㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,房屋用途,商品房
760万,101959,民安小区东直门内北小街,"东城,东直门",2室1厅1厨1卫,高楼层 (共16层),74.54㎡,平层,63.12㎡,板楼,南 北,钢混结构,其他,四梯三户,集中供暖,有,70年,房屋用途,二类经济适用房
925万,84607,春秀路,"东城,工体",3室2厅1厨2卫,顶层 (共6层),109.33㎡,复式,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
1500万,105672,海晟名苑南区,"东城,工体",3室1厅1厨2卫,中楼层 (共18层),141.95㎡,平层,暂无数据,板塔结合,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,房屋用途,商品房
1020万,102596,兴化西里,"东城,和平里",3室2厅1厨1卫,顶层 (共6层),99.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,无,70年,房屋用途,二类经济适用房
821万,70052,京宝花园,"东城,安定门",1室1厅1厨1卫,顶层 (共12层),117.2㎡,平层,100㎡,板楼,东,钢混结构,简装,两梯五户,集中供暖,有,70年,房屋用途,商品房
725万,96256,和平里七区,"东城,和平里",3室1厅1厨1卫,顶层 (共5层),75.32㎡,平层,暂无数据,板楼,西,混合结构,简装,一梯三户,集中供暖,无,70年,房屋用途,央产房
710万,110163,海运仓小区,"东城,东直门",2室1厅1厨1卫,低楼层 (共9层),64.45㎡,平层,58㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,房屋用途,二类经济适用房
790万,96933,法华南里,"东城,崇文门",2室2厅1厨1卫,低楼层 (共6层),81.5㎡,平层,56.82㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,房屋用途,已购公房
1030万,88824,新景家园西区,"东城,崇文门",3室1厅1厨2卫,低楼层 (共11层),115.96㎡,平层,88.53㎡,板楼,东,钢混结构,简装,两梯八户,集中供暖,有,70年,房屋用途,商品房
1190万,98129,花市枣苑二期,"东城,东花市",2室1厅1厨2卫,高楼层 (共19层),121.27㎡,平层,99.32㎡,塔楼,西北,钢混结构,精装,三梯十二户,自供暖,有,70年,房屋用途,商品房
2180万,118382,新怡家园,"东城,崇文门",3室2厅1厨2卫,顶层 (共13层),184.15㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,房屋用途,商品房
579万,72258,华龙美晟,"东城,永定门",2室1厅1厨1卫,底层 (共12层),80.13㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,一梯四户,自供暖,有,70年,房屋用途,商品房
920万,94865,南竹杆胡同,"东城,朝阳门内",3室1厅1厨1卫,底层 (共16层),96.98㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,房屋用途,二类经济适用房
